,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,120.01,120.01,111.27000000000017
1,2,123.01,123.01,111.50000000000018
2,3,123.01,116.01,111.66000000000017
3,4,123.01,120.01,112.14000000000019
4,5,127.01,127.01,112.46000000000018
5,6,127.01,117.01,112.49000000000018
6,7,127.01,119.01,112.43000000000018
7,8,127.01,121.01,113.29000000000018
8,9,127.01,117.01,112.56000000000019
9,10,127.01,116.01,112.32000000000018
10,11,127.01,116.01,111.98000000000019
11,12,127.01,117.01,112.52000000000018
12,13,127.01,117.01,112.10000000000016
13,14,127.01,117.01,112.09000000000019
14,15,127.01,127.01,112.36000000000018
15,16,127.01,127.01,112.73000000000019
16,17,127.01,127.01,112.89000000000019
17,18,128.01,128.01,112.72000000000017
18,19,131.01,131.01,113.47000000000018
19,20,131.01,131.01,112.92000000000016
20,21,131.01,131.01,113.55000000000017
21,22,131.01,131.01,114.04000000000018
22,23,131.01,131.01,114.15000000000018
23,24,132.01,132.01,114.24000000000018
24,25,132.01,132.01,114.18000000000018
25,26,132.01,132.01,114.81000000000019
26,27,132.01,131.01,114.39000000000019
27,28,132.01,131.01,118.28000000000019
28,29,132.01,131.01,118.21000000000018
29,30,132.01,131.01,118.11000000000018
30,31,132.01,131.01,115.42000000000019
31,32,132.01,131.01,115.03000000000019
32,33,132.01,131.01,114.76000000000018
33,34,132.01,131.01,115.41000000000018
34,35,132.01,131.01,114.22000000000018
35,36,132.01,131.01,114.97000000000018
36,37,132.01,131.01,113.87000000000018
37,38,132.01,131.01,115.07000000000018
38,39,132.01,131.01,114.22000000000018
39,40,132.01,131.01,115.04000000000018
40,41,132.01,131.01,113.50000000000017
41,42,132.01,132.01,114.87000000000018
42,43,132.01,132.01,113.43000000000016
43,44,132.01,128.01,112.62000000000016
44,45,132.01,131.01,115.36000000000018
45,46,132.01,128.01,112.67000000000016
46,47,132.01,128.01,113.45000000000016
47,48,132.01,128.01,112.83000000000017
48,49,132.01,128.01,113.87000000000016
49,50,132.01,128.01,113.36000000000017
