,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,116.01,116.01,111.11000000000017
1,2,118.01,118.01,112.34000000000019
2,3,127.01,127.01,112.28000000000019
3,4,127.01,127.01,112.56000000000019
4,5,129.01,129.01,112.87000000000016
5,6,129.01,129.01,112.72000000000017
6,7,129.01,129.01,112.80000000000017
7,8,129.01,129.01,112.76000000000016
8,9,129.01,129.01,112.50000000000017
9,10,129.01,129.01,112.90000000000016
10,11,129.01,129.01,112.95000000000016
11,12,129.01,129.01,112.95000000000016
12,13,129.01,129.01,113.39000000000016
13,14,130.01,130.01,113.61000000000017
14,15,130.01,129.01,113.27000000000017
15,16,130.01,129.01,113.78000000000019
16,17,130.01,129.01,114.58000000000018
17,18,130.01,128.01,113.53000000000016
18,19,130.01,128.01,113.37000000000016
19,20,130.01,128.01,113.46000000000016
20,21,130.01,129.01,113.43000000000018
21,22,130.01,130.01,113.79000000000018
22,23,130.01,130.01,115.03000000000019
23,24,130.01,130.01,114.37000000000018
24,25,130.01,130.01,113.89000000000019
25,26,130.01,130.01,114.51000000000018
26,27,130.01,130.01,113.84000000000019
27,28,132.01,132.01,115.03000000000019
28,29,132.01,131.01,116.31000000000019
29,30,132.01,131.01,115.23000000000019
30,31,132.01,130.01,114.34000000000019
31,32,132.01,130.01,115.37000000000018
32,33,132.01,130.01,114.48000000000019
33,34,132.01,131.01,114.95000000000019
34,35,132.01,131.01,114.85000000000018
35,36,132.01,131.01,116.08000000000018
36,37,132.01,131.01,115.11000000000018
37,38,132.01,132.01,115.55000000000018
38,39,132.01,130.01,114.21000000000018
39,40,132.01,130.01,115.21000000000018
40,41,132.01,130.01,114.57000000000018
41,42,132.01,128.01,113.10000000000016
42,43,133.01,133.01,115.18000000000018
43,44,133.01,133.01,114.41000000000018
44,45,137.01,137.01,114.47000000000018
45,46,140.01,140.01,112.92000000000019
46,47,140.01,136.01,115.56000000000019
47,48,140.01,133.01,113.61000000000018
48,49,140.01,131.01,115.51000000000018
49,50,140.01,134.01,117.23000000000019
