,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,31,31,12.91
1,2,37,37,13.35
2,3,32,32,13.31
3,4,40,40,14.02
4,5,24,24,13.28
5,6,38,38,13.96
6,7,30,30,13.1
7,8,30,30,13.77
8,9,32,32,13.19
9,10,31,31,13.6
10,11,30,30,13.29
11,12,32,32,13.76
12,13,31,31,13.23
13,14,25,25,13.21
14,15,45,45,13.46
15,16,38,38,12.85
16,17,31,31,13.14
17,18,42,42,13.74
18,19,36,36,12.94
19,20,33,33,13.74
20,21,44,44,13.31
21,22,35,35,13.8
22,23,30,30,12.96
23,24,29,29,13.16
24,25,43,43,12.94
25,26,33,33,13.59
26,27,30,30,13.24
27,28,23,23,12.51
28,29,37,37,13.92
29,30,31,31,13.59
30,31,30,30,12.74
31,32,43,43,13.69
32,33,37,37,13.98
33,34,31,31,13.44
34,35,40,40,13.82
35,36,32,32,13.77
36,37,29,29,13.03
37,38,36,36,12.8
38,39,31,31,13.49
39,40,30,30,13.05
40,41,31,31,13.28
41,42,31,31,12.87
42,43,36,36,14.21
43,44,31,31,13.39
44,45,31,31,14.1
45,46,31,31,13.35
46,47,38,38,13.53
47,48,25,25,13.53
48,49,23,23,13.25
49,50,39,39,13.5
50,51,27,27,12.76
51,52,41,41,13.61
52,53,35,35,13.7
53,54,29,29,14.3
54,55,34,34,13.49
55,56,38,38,14.89
56,57,31,31,14.1
57,58,27,27,13.76
58,59,38,38,14.42
59,60,34,34,13.74
60,61,30,30,12.77
61,62,34,34,13.83
62,63,30,30,13.26
63,64,52,52,14.54
64,65,31,31,13.92
65,66,30,30,13.27
66,67,32,32,13.39
67,68,31,31,14.41
68,69,49,49,14.22
69,70,24,24,13.35
70,71,30,30,13.11
71,72,31,31,13.69
72,73,38,38,14.1
73,74,44,44,13.51
74,75,36,36,14.33
75,76,25,25,12.76
76,77,32,32,13.42
77,78,37,37,13.68
78,79,32,32,13.57
79,80,38,38,13.75
80,81,45,45,13.58
81,82,38,38,13.72
82,83,25,25,12.97
83,84,32,32,13.54
84,85,43,43,13.96
85,86,31,31,13.73
86,87,25,25,13.21
87,88,38,38,13.39
88,89,40,40,14.48
89,90,32,32,14.21
90,91,31,31,13.68
91,92,51,51,13.46
92,93,37,37,13.99
93,94,21,21,12.55
94,95,33,33,13.16
95,96,39,39,14.04
96,97,50,50,13.79
97,98,31,31,13.09
98,99,31,31,14.06
99,100,31,31,13.39
