,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,36,36,13.53
1,2,30,30,13.39
2,3,27,27,13.56
3,4,44,44,13.86
4,5,24,24,12.89
5,6,36,36,14.16
6,7,33,33,14.52
7,8,30,30,14.27
8,9,47,47,14.02
9,10,37,37,14.13
10,11,38,38,13.87
11,12,40,40,14.33
12,13,37,37,14.25
13,14,37,37,14.6
14,15,44,44,13.23
15,16,31,31,13.85
16,17,33,33,14.03
17,18,24,24,12.5
18,19,36,36,13.54
19,20,37,37,13.16
20,21,32,32,12.63
21,22,30,30,14.19
22,23,32,32,14.73
23,24,33,33,14.81
24,25,41,41,14.08
25,26,33,33,14.17
26,27,37,37,15.13
27,28,31,31,13.74
28,29,24,24,12.83
29,30,31,31,12.79
30,31,31,31,13.48
31,32,37,37,12.95
32,33,30,30,13.25
33,34,32,32,13.94
34,35,31,31,12.89
35,36,45,45,13.92
36,37,36,36,13.43
37,38,30,30,13.41
38,39,30,30,13.28
39,40,26,26,13.2
40,41,37,37,13.51
41,42,31,31,13.29
42,43,38,38,13.27
43,44,43,43,13.51
44,45,37,37,12.97
45,46,27,27,13.06
46,47,30,30,13.57
47,48,36,36,13.05
48,49,24,24,12.31
49,50,31,31,13.83
50,51,26,26,13.58
51,52,30,30,13.2
52,53,30,30,14.27
53,54,40,40,14.67
54,55,35,35,12.9
55,56,33,33,13.85
56,57,26,26,13.61
57,58,34,34,14.53
58,59,44,44,14.18
59,60,38,38,13.14
60,61,49,49,14.23
61,62,41,41,13
62,63,35,35,13.51
63,64,32,32,13.46
64,65,50,50,14.3
65,66,28,28,13.13
66,67,24,24,13.28
67,68,31,31,13.7
68,69,32,32,12.31
69,70,27,27,13.42
70,71,29,29,12.83
71,72,30,30,12.89
72,73,36,36,13.7
73,74,24,24,12.92
74,75,31,31,14.09
75,76,31,31,12.91
76,77,30,30,13.69
77,78,28,28,13.57
78,79,45,45,14.31
79,80,37,37,13.33
80,81,46,46,13.75
81,82,37,37,14.26
82,83,37,37,14.49
83,84,31,31,14.45
84,85,44,44,14.44
85,86,25,25,13.08
86,87,30,30,13.58
87,88,36,36,13.98
88,89,42,42,14.23
89,90,31,31,13.96
90,91,30,30,13.11
91,92,25,25,13.22
92,93,33,33,14.11
93,94,37,37,12.9
94,95,43,43,13.87
95,96,30,30,13.18
96,97,37,37,13.75
97,98,29,29,13.22
98,99,33,33,13.71
99,100,30,30,13.56
