,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,16.009999999999998,16.009999999999998,2.989999999999992
1,2,16.009999999999998,16.009999999999998,1.9715384615384661
2,3,29.009999999999998,29.009999999999998,4.409999999999991
3,4,29.009999999999998,18.009999999999998,3.1899999999999924
4,5,29.009999999999998,16.009999999999998,2.989999999999992
5,6,29.009999999999998,16.009999999999998,3.069999999999993
6,7,29.009999999999998,16.009999999999998,2.9899999999999927
7,8,29.009999999999998,16.009999999999998,2.929999999999993
8,9,29.009999999999998,16.009999999999998,3.4699999999999913
9,10,29.009999999999998,29.009999999999998,3.4699999999999913
10,11,36.01,36.01,4.629999999999992
11,12,36.01,29.009999999999998,3.8099999999999916
12,13,36.01,16.009999999999998,2.609999999999993
13,14,36.01,16.009999999999998,3.629999999999992
14,15,36.01,18.009999999999998,3.709999999999992
15,16,36.01,21.009999999999998,5.329999999999992
16,17,36.01,29.009999999999998,3.4099999999999913
17,18,36.01,29.009999999999998,3.709999999999992
18,19,36.01,16.009999999999998,3.9899999999999913
19,20,36.01,18.009999999999998,3.8499999999999917
20,21,36.01,16.009999999999998,3.4299999999999926
21,22,36.01,16.009999999999998,2.3900000000000046
22,23,36.01,16.009999999999998,2.892352941176465
23,24,36.01,16.009999999999998,3.7699999999999916
24,25,36.01,16.009999999999998,2.7899999999999943
25,26,36.01,16.009999999999998,2.589999999999995
26,27,36.01,29.009999999999998,3.8499999999999917
27,28,36.01,34.01,4.949999999999991
28,29,36.01,16.009999999999998,2.0492156862745143
29,30,36.01,20.009999999999998,5.549999999999992
30,31,36.01,16.009999999999998,2.8899999999999926
31,32,36.01,26.009999999999998,2.9315686274509725
32,33,36.01,29.009999999999998,2.6899999999999924
33,34,36.01,16.009999999999998,5.421764705882345
34,35,36.01,29.009999999999998,3.088431372549013
35,36,36.01,16.009999999999998,4.2299999999999915
36,37,36.01,18.009999999999998,4.549999999999992
37,38,36.01,18.009999999999998,2.6099999999999928
38,39,36.01,16.009999999999998,3.2499999999999925
39,40,36.01,16.009999999999998,3.489999999999992
40,41,36.01,16.009999999999998,2.147254901960789
41,42,36.01,16.009999999999998,2.1900000000000044
42,43,36.01,29.009999999999998,4.1499999999999915
43,44,36.01,16.009999999999998,3.169999999999992
44,45,36.01,16.009999999999998,3.289999999999992
45,46,36.01,29.009999999999998,2.2100000000000044
46,47,36.01,16.009999999999998,2.2600000000000042
47,48,36.01,29.009999999999998,4.369999999999991
48,49,36.01,29.009999999999998,3.3299999999999916
49,50,36.01,16.009999999999998,2.7699999999999925
