,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,48,48,34.52
1,2,92,92,36.71153846153846
2,3,163,163,38.8
3,4,163,101,34.62264150943396
4,5,163,49,37.7
5,6,163,51,38.82
6,7,163,122,39.25
7,8,163,48,36.02
8,9,165,165,41.5
9,10,165,49,35.90196078431372
10,11,165,127,40.07843137254902
11,12,165,129,38.52
12,13,165,105,41.549019607843135
13,14,165,49,33.80392156862745
14,15,165,99,40.34
15,16,165,110,37.68
16,17,165,135,44.48
17,18,165,120,37.94230769230769
18,19,165,47,32.48
19,20,165,48,36.32692307692308
20,21,165,86,35.07843137254902
21,22,165,49,38.471698113207545
22,23,165,118,36.5
23,24,165,111,37.96078431372549
24,25,165,90,38.01960784313726
25,26,165,106,38
26,27,165,90,36.568627450980394
27,28,165,92,39.80392156862745
28,29,165,51,34.80392156862745
29,30,165,50,36.14
30,31,165,144,41.36
31,32,165,105,38.68
32,33,165,145,40.16
33,34,165,88,36.588235294117645
34,35,165,119,43.05882352941177
35,36,165,160,38.64
36,37,165,100,39.58
37,38,165,48,35.76
38,39,165,79,38.6
39,40,165,48,37.12
40,41,165,51,36.94
41,42,165,136,41.32
42,43,165,120,44.62
43,44,165,145,41.96
44,45,167,167,40.14
45,46,167,50,37.38
46,47,167,48,36.78
47,48,167,92,38.96
48,49,167,49,36
49,50,167,93,36.78
