,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,50,50,35.96
1,2,107,107,36.08
2,3,107,49,33.1764705882353
3,4,107,103,39.90384615384615
4,5,126,126,37.88235294117647
5,6,126,99,39.90384615384615
6,7,126,123,37.18
7,8,126,51,35.68627450980392
8,9,126,49,34.06
9,10,126,108,39.06
10,11,126,117,37.19607843137255
11,12,126,88,36.74
12,13,126,47,34.96078431372549
13,14,126,102,37.98
14,15,126,48,36.4
15,16,126,120,37
16,17,126,48,34.588235294117645
17,18,162,162,38.66
18,19,162,51,35.5
19,20,162,48,37.21568627450981
20,21,162,126,40.15686274509804
21,22,162,100,41.16
22,23,162,95,35.42
23,24,162,106,37.34
24,25,162,101,36.48
25,26,162,103,37.46
26,27,162,151,37.72
27,28,162,50,35.08
28,29,162,100,37.42
29,30,162,48,35.68
30,31,162,99,37.11764705882353
31,32,162,48,36.82
32,33,162,92,37.84
33,34,162,89,37.470588235294116
34,35,162,49,36.14
35,36,162,78,36.74
36,37,162,87,35.8235294117647
37,38,162,48,34.92
38,39,162,89,37.48
39,40,162,127,36.56
40,41,162,48,36.76
41,42,162,91,36.72
42,43,162,49,36.56
43,44,162,49,36.23529411764706
44,45,162,50,35.7
45,46,162,111,43.08
46,47,162,99,37.94
47,48,162,48,35.7
48,49,162,82,38.72
49,50,162,99,37.18
