,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,310,310,92.16
1,2,310,310,98.76
2,3,310,310,100.8
3,4,351,351,125.88
4,5,351,320,144.18
5,6,351,335,146.7
6,7,446,446,86.26
