,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,109,109,28.23
1,2,123,123,41.7
2,3,123,119,35.24752475247525
3,4,166,166,39.8
4,5,166,114,34.5
