,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,16.009999999999998,16.009999999999998,3.6299999999999915
1,2,16.009999999999998,16.009999999999998,9.389999999999992
2,3,16.009999999999998,16.009999999999998,8.989999999999991
3,4,16.009999999999998,16.009999999999998,10.389999999999993
4,5,16.009999999999998,16.009999999999998,10.889999999999993
5,6,16.009999999999998,16.009999999999998,11.249999999999993
6,7,16.009999999999998,16.009999999999998,9.809999999999992
7,8,16.009999999999998,16.009999999999998,10.869999999999994
8,9,16.009999999999998,16.009999999999998,10.029999999999992
9,10,16.009999999999998,16.009999999999998,8.209999999999992
10,11,16.009999999999998,16.009999999999998,8.109999999999992
11,12,16.009999999999998,16.009999999999998,5.529999999999992
12,13,16.009999999999998,16.009999999999998,9.049999999999992
13,14,16.009999999999998,16.009999999999998,6.189999999999992
14,15,16.009999999999998,16.009999999999998,2.130000000000004
15,16,16.009999999999998,16.009999999999998,10.769999999999992
16,17,16.009999999999998,16.009999999999998,8.109999999999992
17,18,18.009999999999998,18.009999999999998,5.049999999999992
18,19,18.009999999999998,18.009999999999998,10.749999999999993
19,20,18.009999999999998,18.009999999999998,6.109999999999992
20,21,18.009999999999998,16.009999999999998,12.269999999999992
21,22,18.009999999999998,16.009999999999998,11.389999999999993
22,23,18.009999999999998,16.009999999999998,9.969999999999992
23,24,18.009999999999998,16.009999999999998,13.129999999999994
24,25,18.009999999999998,16.009999999999998,9.289999999999992
25,26,18.009999999999998,16.009999999999998,11.469999999999994
26,27,18.009999999999998,16.009999999999998,13.549999999999994
27,28,18.009999999999998,18.009999999999998,11.189999999999992
28,29,18.009999999999998,16.009999999999998,13.009999999999993
29,30,18.009999999999998,16.009999999999998,11.249999999999993
30,31,18.009999999999998,16.009999999999998,13.709999999999994
31,32,18.009999999999998,18.009999999999998,9.189999999999992
32,33,18.009999999999998,18.009999999999998,8.469999999999992
33,34,18.009999999999998,18.009999999999998,10.109999999999992
34,35,18.009999999999998,18.009999999999998,9.909999999999991
35,36,18.009999999999998,16.009999999999998,11.789999999999994
36,37,18.009999999999998,16.009999999999998,10.829999999999993
37,38,18.009999999999998,16.009999999999998,14.089999999999993
38,39,18.009999999999998,16.009999999999998,14.089999999999993
39,40,18.009999999999998,16.009999999999998,13.129999999999994
40,41,18.009999999999998,16.009999999999998,13.769999999999992
41,42,18.009999999999998,16.009999999999998,13.769999999999992
42,43,18.009999999999998,16.009999999999998,12.489999999999993
43,44,18.009999999999998,16.009999999999998,12.689999999999992
44,45,18.009999999999998,16.009999999999998,13.129999999999994
45,46,18.009999999999998,16.009999999999998,14.089999999999993
46,47,18.009999999999998,16.009999999999998,11.849999999999993
47,48,18.009999999999998,16.009999999999998,8.969999999999992
48,49,18.009999999999998,16.009999999999998,10.249999999999993
49,50,18.009999999999998,16.009999999999998,9.969999999999992
