,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,16.009999999999998,16.009999999999998,1.049999999999998
1,2,16.009999999999998,16.009999999999998,1.4300000000000046
2,3,16.009999999999998,16.009999999999998,2.5899999999999928
3,4,29.009999999999998,29.009999999999998,5.809999999999992
4,5,37.01,37.01,4.669999999999991
5,6,37.01,16.009999999999998,4.289999999999993
6,7,37.01,16.009999999999998,5.049999999999992
7,8,37.01,16.009999999999998,3.9699999999999913
8,9,37.01,16.009999999999998,3.489999999999992
9,10,37.01,16.009999999999998,3.4499999999999913
10,11,37.01,16.009999999999998,2.649999999999993
11,12,37.01,18.009999999999998,3.369999999999992
12,13,37.01,29.009999999999998,2.5899999999999928
13,14,37.01,29.009999999999998,10.929999999999993
14,15,37.01,29.009999999999998,9.589999999999993
15,16,37.01,29.009999999999998,9.489999999999991
16,17,37.01,29.009999999999998,9.669999999999993
17,18,37.01,37.01,7.329999999999992
18,19,37.01,37.01,12.169999999999993
19,20,37.01,37.01,19.869999999999994
20,21,37.01,37.01,13.149999999999993
21,22,37.01,37.01,18.689999999999994
22,23,37.01,37.01,14.189999999999992
23,24,37.01,37.01,13.229999999999993
24,25,37.01,37.01,12.449999999999994
25,26,37.01,37.01,14.029999999999994
26,27,37.01,37.01,17.80999999999999
27,28,37.01,37.01,12.849999999999993
28,29,37.01,37.01,16.409999999999993
29,30,37.01,37.01,16.709999999999994
30,31,37.01,37.01,15.409999999999993
31,32,37.01,37.01,15.869999999999994
32,33,37.01,37.01,12.709999999999994
33,34,37.01,37.01,15.269999999999992
34,35,37.01,37.01,11.309999999999993
35,36,37.01,37.01,16.829999999999995
36,37,37.01,37.01,10.809999999999993
37,38,37.01,37.01,8.369999999999992
38,39,37.01,37.01,7.589999999999992
39,40,37.01,37.01,4.469999999999992
40,41,37.01,37.01,13.889999999999993
41,42,37.01,37.01,11.769999999999992
42,43,37.01,37.01,13.149999999999993
43,44,37.01,37.01,8.769999999999992
44,45,37.01,37.01,12.449999999999994
45,46,37.01,37.01,15.949999999999994
46,47,37.01,16.009999999999998,10.109999999999992
47,48,37.01,37.01,10.749999999999993
48,49,37.01,37.01,11.569999999999993
49,50,37.01,37.01,12.089999999999993
