,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,101,101,29.49
1,2,127,127,39.56
2,3,127,108,42.04
3,4,137,137,52.31
4,5,137,105,16.633663366336634
