,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,19,19,12.18
1,2,19,17,11.88
2,3,19,18,12.13
3,4,19,17,13.98
4,5,19,18,13.76
5,6,19,18,15.93
6,7,30,30,15.2
7,8,30,18,16.24
8,9,30,23,13.44
9,10,30,20,16.74
10,11,30,25,13.37
11,12,30,21,16.41
12,13,30,21,15.79
13,14,30,19,14.86
14,15,30,18,14.14
15,16,30,18,13.62
16,17,30,18,15.04
17,18,30,17,11.72
18,19,30,18,14.41
19,20,30,17,16.1
20,21,30,18,15.66
21,22,30,18,16.73
22,23,30,18,16.48
23,24,30,18,16.67
24,25,30,18,15.34
25,26,30,25,16.21
26,27,30,24,16.39
27,28,30,24,16.51
28,29,30,24,15.78
29,30,30,25,14.93
30,31,30,18,13.7
31,32,30,18,12.77
32,33,30,18,14.86
33,34,30,18,14.18
34,35,30,17,12.19
35,36,30,25,13.86
36,37,30,18,12.64
37,38,30,18,13.97
38,39,30,18,15.85
39,40,30,18,15.44
40,41,30,18,15.3
41,42,30,18,12.49
42,43,30,17,11.78
43,44,30,18,12.59
44,45,30,18,13.09
45,46,30,17,13.94
46,47,30,18,13.68
47,48,30,17,11.3
48,49,30,18,13.62
49,50,30,18,15.99
50,51,30,18,15.36
51,52,30,18,16.34
52,53,30,18,14.92
53,54,30,18,14.06
54,55,30,18,13.44
55,56,30,18,14.54
56,57,30,18,16.47
57,58,30,18,16.08
58,59,30,18,15.9
59,60,30,18,16.31
60,61,30,18,16.13
61,62,30,18,16.98
62,63,30,18,16.35
63,64,30,18,15.14
64,65,30,18,13.8
65,66,30,18,16.65
66,67,30,18,16.4
67,68,30,18,16.06
68,69,30,18,15.14
69,70,30,18,16.34
70,71,30,19,16.35
71,72,30,18,15.89
72,73,30,18,16.8
73,74,30,18,16.61
74,75,30,18,16.75
75,76,30,18,16.56
76,77,30,18,16.43
77,78,30,18,16.48
78,79,30,18,16.84
79,80,30,18,14.84
80,81,30,18,16.91
81,82,30,18,16.95
82,83,30,18,16.72
83,84,30,18,16.51
84,85,30,18,17.12
85,86,30,19,16.46
86,87,30,18,16.81
87,88,30,19,16.51
88,89,30,18,16.66
89,90,30,19,16.22
90,91,30,19,16.94
91,92,30,18,15.95
92,93,30,18,16.69
93,94,30,18,15.81
94,95,30,18,16.54
95,96,30,18,15.72
96,97,30,18,16.27
97,98,30,18,15.63
98,99,30,18,15.77
99,100,30,18,15.67
