,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,55,55,12.34
1,2,46,46,11.83
2,3,42,42,12.64
3,4,35,35,11.69
4,5,54,54,14.37
5,6,32,32,11.55
6,7,37,37,12.11
7,8,32,32,11.94
8,9,53,53,12.42
9,10,34,34,12.47
10,11,49,49,11.74
11,12,30,30,11.27
12,13,33,33,12.01
13,14,42,42,13.55
14,15,55,55,12.96
15,16,49,49,12.52
16,17,51,51,12.83
17,18,50,50,11.95
18,19,52,52,13.38
19,20,49,49,11.91
20,21,47,47,11.63
21,22,71,71,14.3
22,23,49,49,11.9
23,24,42,42,12.3
24,25,50,50,12.71
25,26,33,33,11.62
26,27,33,33,11.58
27,28,32,32,12.28
28,29,34,34,11.94
29,30,51,51,11.59
30,31,49,49,12.95
31,32,30,30,11.52
32,33,34,34,11.71
33,34,51,51,12.34
34,35,52,52,12.96
35,36,32,32,11.97
36,37,35,35,13.01
37,38,30,30,10.66
38,39,30,30,11.16
39,40,32,32,11.96
40,41,35,35,10.4
41,42,48,48,12.07
42,43,49,49,11.44
43,44,37,37,11.52
44,45,45,45,12.46
45,46,52,52,12.9
46,47,32,32,11.94
47,48,33,33,11.18
48,49,53,53,11.91
49,50,55,55,12.46
50,51,47,47,12.19
51,52,51,51,13.63
52,53,60,60,13.92
53,54,52,52,12.9
54,55,41,41,12.86
55,56,49,49,14.08
56,57,43,43,13.19
57,58,62,62,13.12
58,59,42,42,12.37
59,60,54,54,12.75
60,61,46,46,14.08
61,62,49,49,14.09
62,63,56,56,13.27
63,64,58,58,12.47
64,65,49,49,13.59
65,66,39,39,12.58
66,67,48,48,12.43
67,68,53,53,12.55
68,69,30,30,11.4
69,70,45,45,12.86
70,71,33,33,11.94
71,72,51,51,12.65
72,73,34,34,12.33
73,74,33,33,11.71
74,75,50,50,13.23
75,76,31,31,12.13
76,77,31,31,11.49
77,78,50,50,11.48
78,79,51,51,11.43
79,80,31,31,11.64
80,81,56,56,13.01
81,82,40,40,11.95
82,83,49,49,13.69
83,84,31,31,11.02
84,85,32,32,12.29
85,86,53,53,12.4
86,87,45,45,12.13
87,88,30,30,11.14
88,89,51,51,12.33
89,90,50,50,12.12
90,91,31,31,12.2
91,92,33,33,12.01
92,93,33,33,12.43
93,94,40,40,14.39
94,95,36,36,12.68
95,96,39,39,13.07
96,97,52,52,13.21
97,98,41,41,11.5
98,99,54,54,12.1
99,100,56,56,14.09
